country,iso2c,iso3c,year,military,education,health
United States,US,USA,2009,NA,15.6010618209839,18.19612122
United States,US,USA,2010,NA,15.5616855621338,18.39752197
United States,US,USA,2011,NA,15.5074806213379,18.85215759
United States,US,USA,2012,NA,15.5992212295532,19.63472557
United States,US,USA,2013,NA,16.0246276855469,20.36674309
United States,US,USA,2014,NA,16.0046138763428,21.48475075
United States,US,USA,2015,NA,16.0524635314941,22.30613899
United States,US,USA,2016,NA,15.9738168716431,22.41881561
United States,US,USA,2017,NA,15.9008255004883,22.49243736
United States,US,USA,2018,NA,15.7807312011719,22.51026154
United States,US,USA,2019,NA,15.5171337127686,22.49646759
United States,US,USA,2020,NA,12.6542158126831,22.35279655
United States,US,USA,2021,NA,NA,NA
United States,US,USA,2022,NA,NA,NA
