"Reference Area Code","Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"AUT","Austria","1979","Not applicable","Not applicable","Percent","5.05033"
"AUT","Austria","1978","Not applicable","Not applicable","Percent","5.17225"
"AUT","Austria","1977","Not applicable","Not applicable","Percent","4.96597"
"AUT","Austria","1976","Not applicable","Not applicable","Percent","5.25031"
"AUT","Austria","1975","Not applicable","Not applicable","Percent","5.14034"
"AZE","Azerbaijan","2013","Not applicable","Not applicable","Percent","2.46218"
"AZE","Azerbaijan","2012","Not applicable","Not applicable","Percent","2.0963"
"AZE","Azerbaijan","2011","Not applicable","Not applicable","Percent","2.43564"
"AZE","Azerbaijan","2010","Not applicable","Not applicable","Percent","2.78062"
"AZE","Azerbaijan","2009","Not applicable","Not applicable","Percent","3.22431"
"AZE","Azerbaijan","2008","Not applicable","Not applicable","Percent","2.44093"
"AZE","Azerbaijan","2007","Not applicable","Not applicable","Percent","2.54928"
"AZE","Azerbaijan","2006","Not applicable","Not applicable","Percent","2.55551"
"AZE","Azerbaijan","2005","Not applicable","Not applicable","Percent","2.97462"
"AZE","Azerbaijan","2004","Not applicable","Not applicable","Percent","3.44766"
"AZE","Azerbaijan","2003","Not applicable","Not applicable","Percent","3.28615"
"AZE","Azerbaijan","2002","Not applicable","Not applicable","Percent","3.15449"
"AZE","Azerbaijan","2001","Not applicable","Not applicable","Percent","3.50342"
"AZE","Azerbaijan","2000","Not applicable","Not applicable","Percent","3.85399"
"AZE","Azerbaijan","1999","Not applicable","Not applicable","Percent","4.21217"
"AZE","Azerbaijan","1998","Not applicable","Not applicable","Percent","3.38"
"AZE","Azerbaijan","1996","Not applicable","Not applicable","Percent","3.51252"
"AZE","Azerbaijan","1995","Not applicable","Not applicable","Percent","3.33737"
"AZE","Azerbaijan","1992","Not applicable","Not applicable","Percent","6.05797"
"BHS","Bahamas","2000","Not applicable","Not applicable","Percent","2.84999"
"BHR","Bahrain","2012","Not applicable","Not applicable","Percent","2.6447"
"BHR","Bahrain","2008","Not applicable","Not applicable","Percent","2.49678"
"BHR","Bahrain","2007","Not applicable","Not applicable","Percent","2.575"
"BHR","Bahrain","2006","Not applicable","Not applicable","Percent","2.87436"
"BGD","Bangladesh","2013","Not applicable","Not applicable","Percent","1.96617"
"BGD","Bangladesh","2012","Not applicable","Not applicable","Percent","2.0458"
"BGD","Bangladesh","2009","Not applicable","Not applicable","Percent","1.93942"
"BGD","Bangladesh","2008","Not applicable","Not applicable","Percent","2.05457"
"BGD","Bangladesh","2007","Not applicable","Not applicable","Percent","2.20222"
"BGD","Bangladesh","2006","Not applicable","Not applicable","Percent","2.13129"
"BGD","Bangladesh","2004","Not applicable","Not applicable","Percent","1.94014"
"BGD","Bangladesh","2003","Not applicable","Not applicable","Percent","2.0694"
"BGD","Bangladesh","2002","Not applicable","Not applicable","Percent","2.01715"
"BGD","Bangladesh","2001","Not applicable","Not applicable","Percent","2.17193"
"BGD","Bangladesh","2000","Not applicable","Not applicable","Percent","2.12507"
"BGD","Bangladesh","1999","Not applicable","Not applicable","Percent","2.13282"
"BGD","Bangladesh","1997","Not applicable","Not applicable","Percent","1.95247"
"BGD","Bangladesh","1993","Not applicable","Not applicable","Percent","1.69262"
"BGD","Bangladesh","1992","Not applicable","Not applicable","Percent","1.63177"
"BGD","Bangladesh","1991","Not applicable","Not applicable","Percent","1.42566"
"BGD","Bangladesh","1990","Not applicable","Not applicable","Percent","1.51912"
"BGD","Bangladesh","1987","Not applicable","Not applicable","Percent","1.51364"
"BGD","Bangladesh","1986","Not applicable","Not applicable","Percent","1.34349"
"BGD","Bangladesh","1985","Not applicable","Not applicable","Percent","1.27118"
"BGD","Bangladesh","1984","Not applicable","Not applicable","Percent","1.22303"
"BGD","Bangladesh","1983","Not applicable","Not applicable","Percent","1.03267"
"BGD","Bangladesh","1982","Not applicable","Not applicable","Percent","1.01164"
"BGD","Bangladesh","1981","Not applicable","Not applicable","Percent","1.0715"
"BGD","Bangladesh","1980","Not applicable","Not applicable","Percent","0.9376"
"BGD","Bangladesh","1979","Not applicable","Not applicable","Percent","1.13093"
"BRB","Barbados","2014","Not applicable","Not applicable","Percent","6.71179"
"BRB","Barbados","2013","Not applicable","Not applicable","Percent","5.50356"
"BRB","Barbados","2012","Not applicable","Not applicable","Percent","5.62441"
"BRB","Barbados","2010","Not applicable","Not applicable","Percent","5.87482"
"BRB","Barbados","2009","Not applicable","Not applicable","Percent","5.32773"
"BRB","Barbados","2008","Not applicable","Not applicable","Percent","5.06121"
"BRB","Barbados","2007","Not applicable","Not applicable","Percent","5.11607"
"BRB","Barbados","2005","Not applicable","Not applicable","Percent","5.55673"
"BRB","Barbados","2004","Not applicable","Not applicable","Percent","5.9038"
"BRB","Barbados","2003","Not applicable","Not applicable","Percent","6.12156"
"BRB","Barbados","2002","Not applicable","Not applicable","Percent","5.76363"
"BRB","Barbados","2001","Not applicable","Not applicable","Percent","5.93509"
"BRB","Barbados","2000","Not applicable","Not applicable","Percent","4.62167"
"BRB","Barbados","1999","Not applicable","Not applicable","Percent","4.25488"
"BRB","Barbados","1991","Not applicable","Not applicable","Percent","6.60199"
"BRB","Barbados","1977","Not applicable","Not applicable","Percent","6.51775"
"BRB","Barbados","1976","Not applicable","Not applicable","Percent","5.9451"
"BLR","Belarus","2014","Not applicable","Not applicable","Percent","4.98751"
"BLR","Belarus","2013","Not applicable","Not applicable","Percent","5.17594"
"BLR","Belarus","2012","Not applicable","Not applicable","Percent","5.12106"
"BLR","Belarus","2011","Not applicable","Not applicable","Percent","4.84382"
"BLR","Belarus","2010","Not applicable","Not applicable","Percent","5.41014"
"BLR","Belarus","2009","Not applicable","Not applicable","Percent","4.51673"
"BLR","Belarus","2007","Not applicable","Not applicable","Percent","5.1521"
"BLR","Belarus","2006","Not applicable","Not applicable","Percent","6.07696"
"BLR","Belarus","2005","Not applicable","Not applicable","Percent","5.87103"
"BLR","Belarus","2004","Not applicable","Not applicable","Percent","5.71226"
"BLR","Belarus","2000","Not applicable","Not applicable","Percent","6.19662"
"BLR","Belarus","1999","Not applicable","Not applicable","Percent","6.00001"
"BEL","Belgium","2011","Not applicable","Not applicable","Percent","6.37874"
"BEL","Belgium","2010","Not applicable","Not applicable","Percent","6.40799"
"BEL","Belgium","2009","Not applicable","Not applicable","Percent","6.41536"
"BEL","Belgium","2008","Not applicable","Not applicable","Percent","6.29139"
"BEL","Belgium","2007","Not applicable","Not applicable","Percent","5.84903"
"BEL","Belgium","2006","Not applicable","Not applicable","Percent","5.84036"
"BEL","Belgium","2005","Not applicable","Not applicable","Percent","5.769"
"BEL","Belgium","2004","Not applicable","Not applicable","Percent","5.80695"
"BEL","Belgium","2003","Not applicable","Not applicable","Percent","5.88478"
"BEL","Belgium","2002","Not applicable","Not applicable","Percent","5.94735"
"BEL","Belgium","2001","Not applicable","Not applicable","Percent","5.84329"
"BEL","Belgium","1996","Not applicable","Not applicable","Percent","3.03222"
"BEL","Belgium","1995","Not applicable","Not applicable","Percent","2.97732"
"BEL","Belgium","1994","Not applicable","Not applicable","Percent","5.39051"
"BEL","Belgium","1993","Not applicable","Not applicable","Percent","5.35193"
"BEL","Belgium","1988","Not applicable","Not applicable","Percent","4.2844"
"BEL","Belgium","1987","Not applicable","Not applicable","Percent","4.55976"
"BEL","Belgium","1986","Not applicable","Not applicable","Percent","4.83388"
"BEL","Belgium","1982","Not applicable","Not applicable","Percent","5.29655"
"BEL","Belgium","1981","Not applicable","Not applicable","Percent","5.41469"
"BEL","Belgium","1980","Not applicable","Not applicable","Percent","5.29049"
"BEL","Belgium","1979","Not applicable","Not applicable","Percent","5.35993"
"BEL","Belgium","1978","Not applicable","Not applicable","Percent","5.41571"
"BEL","Belgium","1977","Not applicable","Not applicable","Percent","5.9661"
"BEL","Belgium","1976","Not applicable","Not applicable","Percent","5.70928"
"BEL","Belgium","1975","Not applicable","Not applicable","Percent","5.74095"
"BLZ","Belize","2013","Not applicable","Not applicable","Percent","6.21729"
"BLZ","Belize","2010","Not applicable","Not applicable","Percent","6.621"
"BLZ","Belize","2009","Not applicable","Not applicable","Percent","6.10014"
"BLZ","Belize","2008","Not applicable","Not applicable","Percent","5.68789"
"BLZ","Belize","2004","Not applicable","Not applicable","Percent","5.2994"
"BLZ","Belize","2003","Not applicable","Not applicable","Percent","5.20682"
"BLZ","Belize","2001","Not applicable","Not applicable","Percent","5.79693"
"BLZ","Belize","2000","Not applicable","Not applicable","Percent","5.02843"
"BLZ","Belize","1999","Not applicable","Not applicable","Percent","5.44344"
"BEN","Benin","2014","Not applicable","Not applicable","Percent","4.38073"
"BEN","Benin","2013","Not applicable","Not applicable","Percent","4.57055"
"BEN","Benin","2012","Not applicable","Not applicable","Percent","4.88943"
"BEN","Benin","2010","Not applicable","Not applicable","Percent","5.02932"
"BEN","Benin","2009","Not applicable","Not applicable","Percent","4.22204"
"BEN","Benin","2008","Not applicable","Not applicable","Percent","3.79566"
"BEN","Benin","2007","Not applicable","Not applicable","Percent","3.22981"
"BEN","Benin","2006","Not applicable","Not applicable","Percent","3.50328"
"BEN","Benin","2005","Not applicable","Not applicable","Percent","3.63079"
"BEN","Benin","2004","Not applicable","Not applicable","Percent","3.50804"
"BEN","Benin","2003","Not applicable","Not applicable","Percent","3.12027"
"BEN","Benin","2002","Not applicable","Not applicable","Percent","2.95134"
"BEN","Benin","2001","Not applicable","Not applicable","Percent","3.23235"
"BEN","Benin","2000","Not applicable","Not applicable","Percent","2.88869"
"BEN","Benin","1999","Not applicable","Not applicable","Percent","2.62665"
"BEN","Benin","1998","Not applicable","Not applicable","Percent","2.74788"
"BMU","Bermuda","2014","Not applicable","Not applicable","Percent","1.78285"
"BMU","Bermuda","2010","Not applicable","Not applicable","Percent","2.64421"
"BMU","Bermuda","2009","Not applicable","Not applicable","Percent","2.61519"
"BMU","Bermuda","2005","Not applicable","Not applicable","Percent","1.98877"
"BMU","Bermuda","2004","Not applicable","Not applicable","Percent","1.77588"
"BMU","Bermuda","2003","Not applicable","Not applicable","Percent","1.66627"
"BMU","Bermuda","1998","Not applicable","Not applicable","Percent","2.15227"
"BMU","Bermuda","1992","Not applicable","Not applicable","Percent","3.47605"
"BMU","Bermuda","1991","Not applicable","Not applicable","Percent","3.15065"
"BMU","Bermuda","1990","Not applicable","Not applicable","Percent","3.1362"
"BMU","Bermuda","1985","Not applicable","Not applicable","Percent","3.03449"
"BMU","Bermuda","1975","Not applicable","Not applicable","Percent","3.43442"
"BTN","Bhutan","2014","Not applicable","Not applicable","Percent","5.90335"
"BTN","Bhutan","2013","Not applicable","Not applicable","Percent","5.58966"
"BTN","Bhutan","2011","Not applicable","Not applicable","Percent","4.65258"
"BTN","Bhutan","2010","Not applicable","Not applicable","Percent","4.02447"
"BTN","Bhutan","2009","Not applicable","Not applicable","Percent","4.62672"
"BTN","Bhutan","2008","Not applicable","Not applicable","Percent","4.7975"
"BTN","Bhutan","2005","Not applicable","Not applicable","Percent","7.0781"
"BTN","Bhutan","2004","Not applicable","Not applicable","Percent","6.41799"
"BTN","Bhutan","2001","Not applicable","Not applicable","Percent","5.7178"
"BTN","Bhutan","2000","Not applicable","Not applicable","Percent","5.51379"
"BOL","Bolivia","2014","Not applicable","Not applicable","Percent","7.28914"
"BOL","Bolivia","2013","Not applicable","Not applicable","Percent","6.25794"
"BOL","Bolivia","2012","Not applicable","Not applicable","Percent","6.42517"
"BOL","Bolivia","2011","Not applicable","Not applicable","Percent","6.88845"
"BOL","Bolivia","2010","Not applicable","Not applicable","Percent","7.60009"
"BOL","Bolivia","2009","Not applicable","Not applicable","Percent","8.08118"
"BOL","Bolivia","2008","Not applicable","Not applicable","Percent","7.03971"
"BOL","Bolivia","2006","Not applicable","Not applicable","Percent","6.31361"
"BOL","Bolivia","2003","Not applicable","Not applicable","Percent","6.37904"
"BOL","Bolivia","2002","Not applicable","Not applicable","Percent","6.23031"
"BOL","Bolivia","2001","Not applicable","Not applicable","Percent","5.89946"
"BOL","Bolivia","2000","Not applicable","Not applicable","Percent","5.47342"
"BOL","Bolivia","1999","Not applicable","Not applicable","Percent","5.65932"
"BOL","Bolivia","1998","Not applicable","Not applicable","Percent","5.52301"
"BOL","Bolivia","1996","Not applicable","Not applicable","Percent","4.65741"
"BOL","Bolivia","1995","Not applicable","Not applicable","Percent","5.60817"
"BOL","Bolivia","1994","Not applicable","Not applicable","Percent","4.78421"
"BWA","Botswana","2009","Not applicable","Not applicable","Percent","9.63292"
"BWA","Botswana","2007","Not applicable","Not applicable","Percent","8.85149"
"BWA","Botswana","2005","Not applicable","Not applicable","Percent","10.67859"
"BWA","Botswana","1992","Not applicable","Not applicable","Percent","6.84061"
"BWA","Botswana","1990","Not applicable","Not applicable","Percent","5.73963"
"BWA","Botswana","1988","Not applicable","Not applicable","Percent","6.15111"
"BWA","Botswana","1987","Not applicable","Not applicable","Percent","6.11773"
"BWA","Botswana","1986","Not applicable","Not applicable","Percent","5.18593"
"BWA","Botswana","1985","Not applicable","Not applicable","Percent","5.65072"
"BWA","Botswana","1984","Not applicable","Not applicable","Percent","5.55166"
"BWA","Botswana","1983","Not applicable","Not applicable","Percent","5.55227"
"BWA","Botswana","1980","Not applicable","Not applicable","Percent","5.46932"
"BWA","Botswana","1979","Not applicable","Not applicable","Percent","6.14173"
"BWA","Botswana","1978","Not applicable","Not applicable","Percent","5.95214"
"BWA","Botswana","1977","Not applicable","Not applicable","Percent","5.40031"
"BWA","Botswana","1976","Not applicable","Not applicable","Percent","6.06396"
"BWA","Botswana","1975","Not applicable","Not applicable","Percent","5.64943"
"BRA","Brazil","2012","Not applicable","Not applicable","Percent","5.91431"
"BRA","Brazil","2011","Not applicable","Not applicable","Percent","5.73952"
"BRA","Brazil","2010","Not applicable","Not applicable","Percent","5.64736"
"BRA","Brazil","2009","Not applicable","Not applicable","Percent","5.47154"
"BRA","Brazil","2008","Not applicable","Not applicable","Percent","5.2727"
"BRA","Brazil","2007","Not applicable","Not applicable","Percent","4.97835"
"BRA","Brazil","2006","Not applicable","Not applicable","Percent","4.86989"
"BRA","Brazil","2005","Not applicable","Not applicable","Percent","4.4767"
"BRA","Brazil","2004","Not applicable","Not applicable","Percent","3.97254"
"BRA","Brazil","2002","Not applicable","Not applicable","Percent","3.74435"
"BRA","Brazil","2001","Not applicable","Not applicable","Percent","3.84303"
"BRA","Brazil","2000","Not applicable","Not applicable","Percent","3.93813"
"BRA","Brazil","1999","Not applicable","Not applicable","Percent","3.78472"
"BRA","Brazil","1998","Not applicable","Not applicable","Percent","4.73946"
"BRA","Brazil","1995","Not applicable","Not applicable","Percent","4.47317"
"VGB","British Virgin Islands","2010","Not applicable","Not applicable","Percent","4.35896"
"VGB","British Virgin Islands","2009","Not applicable","Not applicable","Percent","3.96987"
"VGB","British Virgin Islands","2007","Not applicable","Not applicable","Percent","3.59943"
"BRN","Brunei Darussalam","2014","Not applicable","Not applicable","Percent","3.76595"
"BRN","Brunei Darussalam","2012","Not applicable","Not applicable","Percent","3.20704"
"BRN","Brunei Darussalam","2011","Not applicable","Not applicable","Percent","3.68108"
"BRN","Brunei Darussalam","2010","Not applicable","Not applicable","Percent","2.04661"
"BRN","Brunei Darussalam","2000","Not applicable","Not applicable","Percent","3.70591"
"BRN","Brunei Darussalam","1999","Not applicable","Not applicable","Percent","4.93205"
"BRN","Brunei Darussalam","1998","Not applicable","Not applicable","Percent","5.25395"
"BRN","Brunei Darussalam","1993","Not applicable","Not applicable","Percent","4.29403"
"BRN","Brunei Darussalam","1992","Not applicable","Not applicable","Percent","3.74769"
"BRN","Brunei Darussalam","1991","Not applicable","Not applicable","Percent","3.66894"
"BRN","Brunei Darussalam","1990","Not applicable","Not applicable","Percent","3.95996"
"BRN","Brunei Darussalam","1989","Not applicable","Not applicable","Percent","4.69012"
"BRN","Brunei Darussalam","1988","Not applicable","Not applicable","Percent","5.40903"
