country,iso2c,iso3c,year,status,lastupdated,life_expectancy,fertility_rate,population,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,1967,,2023-10-26,35.924,7.339,10010030,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1968,,2023-10-26,36.418,7.363,10247780,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1969,,2023-10-26,36.91,7.389,10494489,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2023-10-26,55.798,7.446,19688632,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2023-10-26,56.454,7.339,21000256,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2023-10-26,57.344,7.22,22645130,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1960,,2023-10-26,32.535,7.282,8622466,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1976,,2023-10-26,40.645,7.561,12425267,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,,2023-10-26,41.228,7.591,12687301,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,,2023-10-26,40.271,7.599,12938862,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,,2023-10-26,39.086,7.612,12986369,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,,2023-10-26,39.618,7.588,12486631,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,,2023-10-26,40.164,7.568,11155195,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,,2023-10-26,37.766,7.553,10088289,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,,2023-10-26,38.187,7.537,9951449,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,,2023-10-26,33.329,7.513,10243686,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,,2023-10-26,33.55,7.517,10512221,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,,2023-10-26,39.396,7.519,10448442,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,,2023-10-26,39.844,7.526,10322758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1975,,2023-10-26,40.1,7.542,12157386,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1989,,2023-10-26,45.158,7.533,10673168,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1990,,2023-10-26,45.967,7.565,10694796,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,,2023-10-26,63.081,5.002,36686784,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,,2023-10-26,63.565,4.87,37769499,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,,2023-10-26,62.575,4.75,38972230,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2021,,2023-10-26,61.982,4.643,40099462,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2022,,2023-10-26,NA,NA,41128771,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,,2023-10-26,63.016,5.129,35643418,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,1974,,2023-10-26,47.5980637543936,6.8204292608423,193512956,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1975,,2023-10-26,47.7598869102852,6.8051717747318,199284304,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1990,,2023-10-26,50.6077275337211,6.1666084334135,309890664,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1991,,2023-10-26,50.3904596093263,6.09985759242091,318544083,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1966,,2023-10-26,45.249104629175,6.81057132105822,153955516,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1980,,2023-10-26,49.6365376633939,6.70462343655892,230967858,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1976,,2023-10-26,48.3495880515137,6.7859950559852,205202669,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1982,,2023-10-26,50.2968491379812,6.63848913659031,245386717,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1970,,2023-10-26,46.7184845197579,6.83830441642616,172475766,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1971,,2023-10-26,47.1929422628056,6.84498829419545,177503186,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1972,,2023-10-26,46.8973892484582,6.84109660113989,182599092,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1973,,2023-10-26,47.6923174333564,6.83224264960977,187901657,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,,2023-10-26,60.7098695610582,4.80881970069337,567892149,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,,2023-10-26,61.3379174832409,4.73986120047803,583651101,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,,2023-10-26,61.8564581403595,4.67761773629276,600008424,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1963,,2023-10-26,44.9131593023895,6.77871194340642,141630546,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1977,,2023-10-26,48.6359051941044,6.76794302629266,211120911,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1978,,2023-10-26,48.7636045995518,6.7504028151318,217481420,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1979,,2023-10-26,49.261335737194,6.73027624410496,224315978,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1981,,2023-10-26,50.0570732913929,6.67236184299929,237937461,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1968,,2023-10-26,46.2230965735857,6.82855998159004,162875171,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1969,,2023-10-26,46.4323030920124,6.83441842297357,167596160,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,,2023-10-26,58.4111497501441,5.04079676128023,523459657,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,,2023-10-26,59.2932713889337,4.96261090208225,537792950,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,,2023-10-26,60.0507802468673,4.87901791576055,552530654,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1987,,2023-10-26,50.0758875408274,6.41948882490515,284490394,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1988,,2023-10-26,49.3597265265243,6.34494192180498,292795186,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1989,,2023-10-26,50.6840997852884,6.26383763791519,301124880,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,,2023-10-26,51.9644813247726,5.52355316105243,401600588,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1964,,2023-10-26,45.4790430350926,6.78842004142392,145605995,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1965,,2023-10-26,45.4983377851245,6.80032228007056,149742351,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,,2023-10-26,54.2196508058581,5.30711992054211,457153837,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,,2023-10-26,62.4545896453864,4.35470911162756,702977106,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2022,,2023-10-26,NA,NA,720839314,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,,2023-10-26,56.6804188973962,5.19259197591937,495748900,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1983,,2023-10-26,48.7033305923076,6.60440812756985,252779730,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1985,,2023-10-26,49.0116307202704,6.51495731969789,267938123,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1986,,2023-10-26,49.6397190079537,6.46430997609552,276035920,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1960,,2023-10-26,44.0855518454965,6.72412501084242,130692579,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1961,,2023-10-26,44.386696928982,6.74275210020318,134169237,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1962,,2023-10-26,44.7521818697994,6.76293005566599,137835590,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,,2023-10-26,55.1505461100496,5.26769087149091,469508516,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,,2023-10-26,62.444050201953,4.61566985634981,616377605,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,,2023-10-26,62.9223896233502,4.5704088889247,632746570,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,,2023-10-26,63.3658626111831,4.52770519140796,649757148,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,,2023-10-26,51.0019252899341,5.84475912907833,353466601,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1967,,2023-10-26,45.9249050028634,6.81861204865555,158313235,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1993,,2023-10-26,50.2736279712378,5.95897282189694,335625136,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,,2023-10-26,57.6208515442432,5.11515623238387,509410477,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,,2023-10-26,51.2378519083819,5.58698766539404,391486231,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,,2023-10-26,50.8106889705148,5.77486441162948,362985802,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1984,,2023-10-26,48.6526645552392,6.56569583279938,260209149,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,,2023-10-26,50.3259127442221,5.64322172546997,381715600,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2003,,2023-10-26,53.0220345898659,5.38084645934598,433807484,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,,2023-10-26,63.7556779176533,4.48289806728591,667242986,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,,2023-10-26,52.1896482143331,5.48162442450645,412001885,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,,2023-10-26,52.540794004192,5.43047454382283,422741118,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1994,,2023-10-26,50.882581820857,5.89744192793445,344418362,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2020,,2023-10-26,63.313860330682,4.41690032191029,685112979,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,,2023-10-26,55.9338017149142,5.2245752801543,482406426,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,,2023-10-26,53.5454571098034,5.34315909957375,445281555,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,,2023-10-26,50.9742313589474,5.7014655364271,372352230,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1992,,2023-10-26,49.9621136475362,6.0283389272847,326933522,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,,2023-10-26,53.6411646755364,5.78852483689185,336893835,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,,2023-10-26,54.1594208389292,5.74904254565965,346475221,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1991,,2023-10-26,48.6624610142838,6.47055575941392,212172888,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1994,,2023-10-26,48.6818922948796,6.2962365099493,229675775,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,,2023-10-26,48.7837728532269,6.23569827377089,235861484,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1992,,2023-10-26,48.7372663398837,6.41830449099673,217966101,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,,2023-10-26,54.550169165108,5.69955221694527,356337762,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,,2023-10-26,55.0131378935872,5.64567225639532,366489204,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,,2023-10-26,48.9062773288063,6.17029853647449,242200260,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1969,,2023-10-26,40.350420384534,6.63518140123135,118615741,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,,2023-10-26,50.9278483335328,5.96726651984921,284952322,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1960,,2023-10-26,37.8451516181524,6.45844789624312,97256290,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1961,,2023-10-26,38.1649497795417,6.47151755185967,99314028,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1962,,2023-10-26,38.7351018609467,6.49182578734167,101445032,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1993,,2023-10-26,48.8320388374723,6.36246400962158,223788766,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,,2023-10-26,51.8191317940034,5.88756694809857,301265247,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,,2023-10-26,52.3445512272646,5.86460386605421,309824829,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,,2023-10-26,52.8321256822206,5.84537989023371,318601484,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,,2023-10-26,53.2517115680003,5.81581414782124,327612838,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1968,,2023-10-26,40.0856789209301,6.61277465250295,115921723,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1970,,2023-10-26,41.0347613835006,6.65712171393698,121424797,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1971,,2023-10-26,41.5567211054069,6.69772401185097,124336039,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1985,,2023-10-26,48.0216757263597,6.72614169333082,180817312,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,,2023-10-26,50.565144130827,5.99595474542322,277160097,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1988,,2023-10-26,48.5129131210586,6.5990154677531,195969722,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1989,,2023-10-26,48.6898474133953,6.56514854262504,201392200,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1990,,2023-10-26,48.6500033905016,6.51827830946128,206739024,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1976,,2023-10-26,45.0031631429919,6.86131385445272,141258400,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,,2023-10-26,51.4033564775689,5.93199862257476,292977949,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1964,,2023-10-26,39.3353602545353,6.52535544956749,105959979,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1965,,2023-10-26,39.6180376955522,6.54110170802647,108336203,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1966,,2023-10-26,39.8378269884933,6.56496650071741,110798486,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1967,,2023-10-26,39.4715000612072,6.58980593159602,113319950,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,,2023-10-26,49.0791837660659,6.10163307484637,248713095,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,,2023-10-26,49.3329492370093,6.04393084242858,255482918,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,,2023-10-26,49.7501167734063,6.0295789163828,262397030,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,,2023-10-26,50.221953875359,6.02317868901341,269611898,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1973,,2023-10-26,42.855047105512,6.76428834664628,130563107,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1974,,2023-10-26,43.4976836506848,6.80339436349315,133953892,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1975,,2023-10-26,44.201253848732,6.84053585126984,137548613,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,,2023-10-26,55.9222289908432,5.43749340764512,397855507,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1977,,2023-10-26,45.7198894946875,6.89618200398892,145122851,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1978,,2023-10-26,46.269535088376,6.92303406677089,149206663,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1979,,2023-10-26,46.6737358706341,6.91411780468757,153459665,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1980,,2023-10-26,47.0152387693495,6.89699501373668,157825609,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1981,,2023-10-26,47.2971899672045,6.88029425786938,162323313,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1982,,2023-10-26,47.529378486773,6.8552665489714,167023385,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1983,,2023-10-26,47.7852622311657,6.8305160766432,171566640,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1984,,2023-10-26,47.9319203796927,6.78068049803288,176054495,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1972,,2023-10-26,42.2497926046538,6.73353604795958,127364044,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1986,,2023-10-26,48.0667637335486,6.68332112043106,185720244,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1987,,2023-10-26,48.2378522324172,6.63646319705565,190759952,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,,2023-10-26,55.673405514134,5.50634979270689,387204553,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,,2023-10-26,57.1891392680655,5.18631941888717,442646825,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,,2023-10-26,56.1958723463673,5.38505930791309,408690375,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1963,,2023-10-26,39.0637152759625,6.50608758636194,103667517,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2017,,2023-10-26,56.888445830282,5.2553453710546,431138704,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2022,,2023-10-26,NA,NA,490330870,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,,2023-10-26,57.5557955517512,5.11893203861357,454306063,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,,2023-10-26,57.2263727312399,5.0493293781153,466189102,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,,2023-10-26,56.9886567820139,4.97866247082482,478185907,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,,2023-10-26,55.3405609869972,5.58089235673762,376797999,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2016,,2023-10-26,56.5816784850503,5.32870923111315,419778384,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,1965,,2023-10-26,60.019,5.623,1864791,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1961,,2023-10-26,55.634,6.353,1659800,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1975,,2023-10-26,68.328,4.524,2404831,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1977,,2023-10-26,69.121,4.136,2513546,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1978,,2023-10-26,69.309,3.946,2566266,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1966,,2023-10-26,60.998,5.465,1914573,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1968,,2023-10-26,62.946,5.338,2022272,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1969,,2023-10-26,63.923,5.258,2081695,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1970,,2023-10-26,64.824,5.111,2135479,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1984,,2023-10-26,71.502,3.296,2904429,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1971,,2023-10-26,65.618,5.015,2187853,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1972,,2023-10-26,66.422,4.898,2243126,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1973,,2023-10-26,67.14,4.764,2296752,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
